Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
740,740,0,0,5711133,-26559841
741,741,0,0,5562483,-26559841
742,742,0,0,5562483,-26559841
743,743,0,0,5562483,-27139364
744,744,0,0,5413833,-27139364
745,745,0,0,5413833,-27139364
746,746,0,0,5413833,-27139364
747,747,0,0,5265183,-27139364
748,748,0,1,4457607,-27139364
749,749,0,0,4457607,-27139364
750,750,0,0,4331757,-27139364
751,751,0,0,4331757,-27139364
752,752,0,0,4205907,-27139364
753,753,0,0,4205907,-25486963
754,754,0,0,4205907,-25486963
755,755,0,0,4082574,-25486963
756,756,0,0,4082574,-25486963
757,757,0,0,4082574,-25486963
758,758,0,1,3029598,-25486963
759,759,0,0,3029598,-25486963
760,760,0,0,2935224,-25486963
761,761,0,0,2935224,-25486963
762,762,0,0,2935224,-25486963
763,763,0,0,2840850,-21738504
764,764,0,0,2840850,-21738504
765,765,0,0,2840850,-21738504
766,766,0,0,2748402,-21738504
767,767,0,0,2748402,-21738504
768,768,0,1,1785805,-21738504
769,769,0,0,1785805,-21738504
770,770,0,0,1785805,-21738504
771,771,0,0,1723645,-21738504
772,772,0,0,1723645,-21738504
773,773,0,0,1723645,-16202239
774,774,0,0,1662780,-16202239
775,775,0,0,1662780,-16202239
776,776,0,0,1662780,-16202239
777,777,0,0,1603210,-16202239
778,778,0,1,919834,-16202239
779,779,0,0,885656,-16202239
780,780,0,0,885656,-16202239
781,781,0,0,885656,-16202239
782,782,0,0,851478,-16202239
783,783,0,0,851478,-9333456
784,784,0,0,851478,-9333456
785,785,0,0,818043,-9333456
786,786,0,0,818043,-9333456
787,787,0,0,785351,-9333456
788,788,0,1,311815,-9333456
789,789,0,0,311815,-9333456
790,790,0,0,298835,-9333456
791,791,0,0,298835,-9333456
792,792,0,0,298835,-9333456
793,793,0,0,286150,-1697038
794,794,0,0,286150,-1697038
795,795,0,0,273465,-1697038
796,796,0,0,273465,-1697038
797,797,0,0,273465,-1697038
798,798,0,1,61950,-1697038
799,799,0,0,61950,-1697038
800,800,0,0,61950,-1697038
801,801,0,0,59080,-1697038
802,802,0,0,59080,-1697038
803,803,0,0,56280,6078993
804,804,0,0,56280,6078993
805,805,0,0,56280,6078993
806,806,0,0,53480,6078993
807,807,0,0,53480,6078993
808,808,0,1,27504,6078993
809,809,0,0,26100,6078993
810,810,0,0,26100,6078993
811,811,0,0,26100,6078993
812,812,0,0,24732,6078993
813,813,0,0,24732,13355128
814,814,0,0,23400,13355128
815,815,0,0,23400,13355128
816,816,0,0,23400,13355128
817,817,0,0,22068,13355128
818,818,0,1,161832,13355128
819,819,0,0,161832,13355128
820,820,0,0,152592,13355128
821,821,0,0,152592,13355128
822,822,0,0,143352,13355128
823,823,0,0,143352,19532966
